Population 1,Population 2,GDP capita 1,GDP capita 2,Distance,collaboration,source,target,real collaborations,estimated collaborations
7.036546978420406,6.72943038972995,4.6459779465998405,4.6675083911647,3.299471287906929,3.255754786643044,be,fi,1801.9999999999995,751.2575665039793
7.668132125103672,6.999427744170248,4.4848005154400035,4.121722724767051,3.2990336979299193,3.255754786643044,es,hu,1801.9999999999995,1554.345698706037
7.776864209903014,7.308248704399826,4.55275736101534,3.9222752131869845,3.032157967006041,3.245759355967277,it,ro,1761.0000000000005,2643.5450119034845
7.220555782256729,7.02483038038049,4.707522867498735,4.351952732278758,3.2432747320848225,3.245759355967277,nl,pt,1761.0000000000005,1264.6823416112627
6.744359491599115,6.972282559750049,4.763490013187067,4.723034963422517,2.92523118803508,3.240798771117331,dk,se,1740.9999999999998,816.0028250393657
7.795494665444658,7.308248704399826,4.626961859043247,3.9222752131869845,3.3512807849984116,3.2377949932739227,fr,ro,1729.0000000000007,3102.747530619518
7.910224541894177,6.313296359489537,4.621211942504339,4.369824918977693,2.81533941144836,3.2350231594952237,de,si,1718.0000000000007,927.3535866406
7.042724477852074,6.972282559750049,4.430214661299593,4.723034963422517,3.4270784875420723,3.2273724422896364,gr,se,1688.0000000000005,1051.06483373992
6.689286388909626,6.972282559750049,4.945243420591756,4.723034963422517,2.8508747928979155,3.203304916138483,no,se,1597.0000000000002,880.0435807537972
7.668132125103672,7.308248704399826,4.4848005154400035,3.9222752131869845,3.3783935219623484,3.187520720836463,es,ro,1540.0,2191.669048866664
6.9223532165844235,6.893342462763831,4.671237533239733,4.883976337304494,2.66318303402693,3.1832698436828046,at,ch,1525.0,1004.3165482006684
7.7976832670711635,7.308248704399826,4.5987597562830995,3.9222752131869845,3.3366615789026555,3.182699903336043,gb,ro,1523.0000000000007,3020.5468888435644
6.655578367449881,7.220555782256729,4.690605474829142,4.707522867498735,2.9624529316616575,3.1740598077250253,ie,nl,1492.9999999999995,1024.618897638713
7.036546978420406,7.02483038038049,4.6459779465998405,4.351952732278758,3.1966040500346686,3.166133970305109,be,pt,1465.9999999999995,869.4156995590408
7.036546978420406,7.586557555605982,4.6459779465998405,4.090772504465759,3.015632684641346,3.14674801363064,be,pl,1402.0,1735.9110396616745
7.036546978420406,6.689286388909626,4.6459779465998405,4.945243420591756,3.330804920557521,3.144262773761991,be,no,1394.0000000000007,982.2667441526784
6.9223532165844235,6.72943038972995,4.671237533239733,4.6675083911647,3.3050529826602637,3.1386184338994925,at,fi,1375.9999999999998,637.8222899168728
6.893342462763831,7.042724477852074,4.883976337304494,4.430214661299593,3.165812676450127,3.1280760126687155,ch,gr,1343.0000000000005,980.809849892872
6.999427744170248,7.220555782256729,4.121722724767051,4.707522867498735,3.0588001005440817,3.1228709228644354,hu,nl,1326.9999999999995,1050.0614112268283
7.019728857622879,7.220555782256729,4.300562738981344,4.707522867498735,2.8711033207762253,3.116939646550756,cz,nl,1309.0000000000005,1254.736571001233
7.668132125103672,6.313296359489537,4.4848005154400035,4.369824918977693,3.2130178155964613,3.1149444157125847,es,si,1303.0000000000002,580.8783489707166
7.776864209903014,6.313296359489537,4.55275736101534,4.369824918977693,2.6395186961474906,3.1082266563749283,it,si,1282.9999999999995,673.3827521507719
6.893342462763831,6.72943038972995,4.883976337304494,4.6675083911647,3.3538619568887573,3.104487111312395,ch,fi,1272.0,756.801379412501
7.7976832670711635,6.313296359489537,4.5987597562830995,4.369824918977693,3.1860381306252177,3.0780941504064105,gb,si,1196.9999999999998,802.6284697271968
6.72943038972995,7.042724477852074,4.6675083911647,4.430214661299593,3.4532238535307487,3.0755469613925306,fi,gr,1189.9999999999995,633.9055839640428
7.042724477852074,7.02483038038049,4.430214661299593,4.351952732278758,3.421681388959202,3.074816440645175,gr,pt,1188.0000000000002,737.8079950056675
7.042724477852074,6.689286388909626,4.430214661299593,4.945243420591756,3.5285488190646994,3.0726174765452368,gr,no,1182.0000000000005,829.6070603898341
7.586557555605982,6.972282559750049,4.090772504465759,4.723034963422517,3.0785932922111754,3.058426024457005,pl,se,1143.9999999999993,1743.8352715640822
6.9223532165844235,7.042724477852074,4.671237533239733,4.430214661299593,3.071383565675785,3.0523090996473234,at,gr,1127.9999999999998,820.0548698538581
6.893342462763831,6.744359491599115,4.883976337304494,4.763490013187067,3.016497554694696,3.0519239160461065,ch,dk,1126.9999999999998,824.0892324986156
6.744359491599115,6.689286388909626,4.763490013187067,4.945243420591756,3.1719386752904413,3.048053173115609,dk,no,1116.9999999999995,660.6157348143547
6.880371701487739,7.7976832670711635,3.825100318514954,4.5987597562830995,3.379872383403682,3.0425755124401905,bg,gb,1102.9999999999998,1733.0220516880918
7.795494665444658,6.313296359489537,4.626961859043247,4.369824918977693,3.168902953887863,3.0265332645232967,fr,si,1063.0,819.9120462648149
7.02483038038049,6.972282559750049,4.351952732278758,4.723034963422517,3.4855496472967893,3.025715383901341,pt,se,1061.0000000000005,953.8744127192758
7.036546978420406,6.655578367449881,4.6459779465998405,4.690605474829142,2.958773280807653,3.016615547557177,be,ie,1038.9999999999995,634.9545447455051
6.744359491599115,6.72943038972995,4.763490013187067,4.6675083911647,3.1128758960004475,3.0141003215196207,dk,fi,1033.0000000000002,502.811778983461
7.042724477852074,7.586557555605982,4.430214661299593,4.090772504465759,3.1695605042383006,3.009450895798694,gr,pl,1022.0000000000003,1454.9484080150537
6.880371701487739,7.910224541894177,3.825100318514954,4.621211942504339,3.1654082127264433,3.00774777800074,bg,de,1018.0000000000001,2112.7885704021755
7.036546978420406,6.999427744170248,4.6459779465998405,4.121722724767051,3.059380656178069,3.0060379549973173,be,hu,1014.0000000000003,612.472047375741
