,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
273,ch,ro,105,7182052.0,279209007352.669,21919882.0,37253738081.0669,1297.3390893754524
274,is,se,104,281469.0,9025660361.75842,8871042.0,262834187366.578,1728.3375609667983
275,pt,sk,102,10300632.0,118605192877.388,5376700.0,29242558796.5507,2406.988700491564
276,it,lu,101,56966400.0,1146676894209.73,435634.0,21230182989.3036,912.8708683961955
277,no,ro,98,4491204.0,171456390281.958,21919882.0,37253738081.0669,2648.9308714682097
278,ro,si,97,21919882.0,37253738081.0669,1984339.0,20289627636.6767,775.2108737490988
279,dk,ee,96,5340662.0,164157842126.821,1396881.0,5686579747.53524,999.313203416749
280,es,lv,96,40741652.0,598363313494.903,2392536.0,7958852838.93395,2749.1635548708846
281,ch,sk,96,7182052.0,279209007352.669,5376700.0,29242558796.5507,879.6369562405765
282,dk,lt,94,5340662.0,164157842126.821,3599639.0,11524776866.6379,883.8269327680122
283,fi,ro,93,5176208.0,126019543413.334,21919882.0,37253738081.0669,2077.3199194773815
284,bg,si,92,8097694.0,13245990274.4581,1984339.0,20289627636.6767,897.5528576534646
285,ro,sk,92,21919882.0,37253738081.0669,5376700.0,29242558796.5507,520.1924866159319
286,lv,pl,91,2392536.0,7958852838.93395,38504432.0,172220451786.957,629.7110884259445
287,ee,gr,90,1396881.0,5686579747.53524,11038112.0,130457756628.436,2188.3838025479154
288,gr,lt,90,11038112.0,130457756628.436,3599639.0,11524776866.6379,1805.0533461948858
289,lv,nl,89,2392536.0,7958852838.93395,15899138.0,417479337444.707,1341.3851318280692
290,gb,hr,87,58850044.0,1666048767079.76,4548438.0,22128719418.4376,1711.6177719690006
291,at,ee,87,8010425.0,197289625479.906,1396881.0,5686579747.53524,1453.1436881358125
292,dk,is,87,5340662.0,164157842126.821,281469.0,9025660361.75842,1839.2105303278522
293,si,sk,87,1984339.0,20289627636.6767,5376700.0,29242558796.5507,449.8644865611742
294,fi,lt,86,5176208.0,126019543413.334,3599639.0,11524776866.6379,1035.2467936966873
295,be,lt,85,10264351.0,236792460312.471,3599639.0,11524776866.6379,1389.675531499168
296,bg,sk,85,8097694.0,13245990274.4581,5376700.0,29242558796.5507,797.4440454803175
297,be,ee,82,10264351.0,236792460312.471,1396881.0,5686579747.53524,1623.6952645101921
298,is,nl,82,281469.0,9025660361.75842,15899138.0,417479337444.707,1977.529089627372
299,cz,lt,81,10234712.0,61823494487.0363,3599639.0,11524776866.6379,842.7353580234371
300,bg,no,79,8097694.0,13245990274.4581,4491204.0,171456390281.958,2993.2763550942313
301,no,sk,79,4491204.0,171456390281.958,5376700.0,29242558796.5507,2286.361367448242
302,bg,ch,77,8097694.0,13245990274.4581,7182052.0,279209007352.669,1420.9098829785153
303,de,hr,76,81551680.0,1947981991011.77,4548438.0,22128719418.4376,824.875675357486
304,fi,lv,76,5176208.0,126019543413.334,2392536.0,7958852838.93395,860.8649291057505
305,lv,se,75,2392536.0,7958852838.93395,8871042.0,262834187366.578,811.7604871656089
306,be,lu,75,10264351.0,236792460312.471,435634.0,21230182989.3036,139.6193023601204
307,ie,si,75,3768954.0,100207610429.909,1984339.0,20289627636.6767,1822.7662061037227
